Approach,RMSE,R² Score,MAE
Baseline XGBoost (Tabular Only),127298.15986101291,0.8708661794662476,71148.71875
Neural Network Fusion (Tabular + Images),180168.57102169623,0.7413253784179688,94977.5234375
Enhanced XGBoost (Tabular + Image PCA),123579.99786373197,0.8782995939254761,69534.9921875
